DATE	TIMEHM	TIMESEC	LATD	LATM	LONGD	LONGM	DEPTH	MAG
50310	0123	29.22	21	3.88	48	30.42	0.54	0.0
50310	0751	9.48	21	3.95	48	30.30	0.44	0.0
50310	0928	26.26	21	3.96	48	30.45	0.50	0.0
50310	2032	22.27	21	3.88	48	30.41	0.43	0.0
50310	2226	29.97	21	3.87	48	30.22	0.12	0.0
50310	2234	14.97	21	3.87	48	30.21	0.29	0.0
50310	2338	13.28	21	3.74	48	30.40	0.51	0.0
50311	0514	9.20	21	3.93	48	30.12	0.92	0.0
50311	0538	26.17	21	3.73	48	30.30	0.51	0.0
50311	0539	15.31	21	3.32	48	29.82	0.30	0.0
50311	0539	21.98	21	3.68	48	29.70	0.13	0.0
50311	0539	26.43	21	3.83	48	29.89	0.16	0.0
50311	0540	5.38	21	4.65	48	30.34	1.66	0.0
50311	0541	10.09	21	3.77	48	30.05	0.65	0.0
50311	0541	31.83	21	3.73	48	30.12	0.60	0.0
50311	0542	30.29	21	3.86	48	30.08	0.58	0.0
50311	0544	47.90	21	3.50	48	30.14	0.30	0.0
50311	0552	43.61	21	3.75	48	30.23	0.44	0.0
50311	0552	50.15	21	3.78	48	30.36	0.67	0.0
50311	0552	58.55	21	3.99	48	30.14	0.56	0.0
50311	0602	41.93	21	3.59	48	30.12	0.71	0.0
50311	0604	12.19	21	3.52	48	30.42	0.29	0.0
50311	0605	33.13	21	3.93	48	30.11	0.75	0.0
50311	0605	44.45	21	3.87	48	30.21	1.04	0.0
50311	0627	1.63	21	3.50	48	30.26	0.55	0.0
50311	0628	1.09	21	3.77	48	30.13	0.74	0.0
50311	0631	34.90	21	3.78	48	30.30	0.63	0.0
50311	0632	47.05	21	3.77	48	30.47	0.72	0.0
50311	0640	16.22	21	3.81	48	30.17	1.01	0.0
50311	0701	28.70	21	3.96	48	30.08	0.64	0.0
50311	0721	5.66	21	3.85	48	30.05	0.06	0.0
50311	0857	30.11	21	3.74	48	29.98	0.29	0.0
50311	0913	2.97	21	3.93	48	30.33	0.88	0.0
50311	0916	38.71	21	3.70	48	30.29	0.73	0.0
50311	0921	21.90	21	3.67	48	30.31	0.55	0.0
50311	0922	1.60	21	3.60	48	30.18	0.56	0.0
50311	0925	2.62	21	3.99	48	30.13	0.47	0.0
50311	0933	27.64	21	3.82	48	29.93	0.19	0.0
50311	0939	49.03	21	3.95	48	29.94	0.07	0.0
50311	0940	49.70	21	4.03	48	30.05	0.01	0.0
50311	0941	13.37	21	3.72	48	29.99	0.30	0.0
50311	0947	55.30	21	3.82	48	30.34	0.64	0.0
50311	0954	56.87	21	3.78	48	30.20	0.54	0.0
50311	0958	34.77	21	3.98	48	29.97	0.30	0.0
50311	1008	43.56	21	3.94	48	30.21	0.78	0.0
50311	1029	45.00	21	3.67	48	30.18	0.60	0.0
50311	1047	43.44	21	4.02	48	29.77	0.23	0.0
50311	1103	30.43	21	4.05	48	30.09	0.11	0.0
50311	1119	47.32	21	3.69	48	30.22	0.83	0.0
50311	1131	27.87	21	3.61	48	30.25	0.82	0.0
50311	1133	1.10	21	3.72	48	30.21	0.80	0.0
50311	1403	42.41	21	3.58	48	30.47	0.58	0.0
50311	1541	13.08	21	3.97	48	30.11	0.07	0.0
50311	1722	15.03	21	3.90	48	30.00	0.20	0.0
50311	1740	29.44	21	3.91	48	30.11	0.46	0.0
50311	1807	43.31	21	3.86	48	29.84	0.40	0.0
50311	1836	26.18	21	4.07	48	30.43	0.21	0.0
50311	2006	42.73	21	3.83	48	30.41	0.76	0.0
50311	2015	30.93	21	4.05	48	30.02	0.18	0.0
50311	2020	38.03	21	4.00	48	30.28	0.11	0.0
50311	2029	27.62	21	3.99	48	30.07	0.01	0.0
50311	2256	41.99	21	3.53	48	30.62	0.30	0.0
50311	2340	36.94	21	3.43	48	30.45	0.49	0.0
50311	2341	48.51	21	3.34	48	30.40	0.01	0.0
50312	0029	22.99	21	3.42	48	30.45	0.06	0.0
50312	0146	17.20	21	3.70	48	30.69	0.74	0.0
50312	0149	24.99	21	3.69	48	30.55	1.09	0.0
50312	0157	21.29	21	4.16	48	30.32	0.21	0.0
50312	0158	10.41	21	3.41	48	30.52	0.51	0.0
50312	0202	40.99	21	3.51	48	30.40	0.71	0.0
50312	0211	21.59	21	3.44	48	29.89	0.30	0.0
50312	0212	33.15	21	3.77	48	30.65	1.04	0.0
50312	0213	46.83	21	3.50	48	30.48	0.61	0.0
50312	0215	25.30	21	3.43	48	30.41	0.52	0.0
50312	0217	50.53	21	3.35	48	30.84	0.16	0.0
50312	0219	33.07	21	3.33	48	30.60	0.09	0.0
50312	0226	22.41	21	3.48	48	30.47	0.56	0.0
50312	0228	25.06	21	3.47	48	30.55	0.75	0.0
50312	0238	35.64	21	3.49	48	30.51	0.07	0.0
50312	0246	55.85	21	3.55	48	30.51	1.18	0.0
50312	0300	40.85	21	3.48	48	30.46	0.57	0.0
50312	0308	49.91	21	3.37	48	30.53	0.53	0.0
50312	0326	21.31	21	3.35	48	30.27	0.00	0.0
50312	0439	34.98	21	3.40	48	30.76	0.16	0.0
50312	0445	8.29	21	3.32	48	30.49	0.07	0.0
50312	0449	22.74	21	3.78	48	30.76	1.92	0.0
50312	0450	10.17	21	3.47	48	30.53	0.92	0.0
50312	0511	7.33	21	3.90	48	30.20	0.46	0.0
50312	0527	13.79	21	3.47	48	29.66	0.30	0.0
50312	0724	32.21	21	3.35	48	30.51	0.10	0.0
50312	0803	33.72	21	3.77	48	30.57	0.76	0.0
50312	0810	15.76	21	4.10	48	30.33	0.21	0.0
50312	0837	45.54	21	3.30	48	30.44	0.31	0.0
50312	1100	52.94	21	3.66	48	30.57	0.92	0.0
50312	1443	41.06	21	3.51	48	29.44	0.79	0.0
50312	1536	40.20	21	3.46	48	30.64	0.44	0.0
50312	1544	12.51	21	3.53	48	30.56	0.58	0.0
50312	1729	58.16	21	3.68	48	29.51	0.30	0.0
50312	1853	10.07	21	4.07	48	29.99	0.30	0.0
50312	2319	55.10	21	3.71	48	30.36	1.13	0.0
50312	2320	34.38	21	3.89	48	30.10	0.00	0.0
50312	2351	1.14	21	3.99	48	29.94	0.11	0.0
50313	0138	36.92	21	4.05	48	30.26	0.30	0.0
50313	0504	40.11	21	3.43	48	30.46	0.74	0.0
50313	0551	22.97	21	3.54	48	30.26	0.78	0.0
50313	0640	16.29	21	3.96	48	30.31	0.30	0.0
50313	0933	58.60	21	3.59	48	30.37	1.05	0.0
50314	0034	15.14	21	3.41	48	30.80	0.21	0.0
50314	0054	19.19	21	4.09	48	30.47	0.30	0.0
50314	0532	50.23	21	3.87	48	30.51	0.30	0.0
50314	0654	40.21	21	3.46	48	30.86	0.30	0.0
50314	1603	33.40	21	4.00	48	30.19	0.13	0.0
50314	1644	28.96	21	3.88	48	30.05	0.18	0.0
50315	0044	33.13	21	4.07	48	30.10	0.12	0.0
50315	0935	5.70	21	3.85	48	30.39	0.15	0.0
50316	0139	46.96	21	4.01	48	30.04	0.13	0.0
50316	0221	11.42	21	3.62	48	30.49	0.06	0.0
50316	0530	17.63	21	4.02	48	30.00	0.12	0.0
50317	0530	22.95	21	4.12	48	30.62	0.10	0.0
50317	0745	12.88	21	3.97	48	30.52	0.15	0.0
50317	1515	52.75	21	4.08	48	30.27	0.30	0.0
50317	1557	13.43	21	4.07	48	30.64	0.12	0.0
50317	2231	5.67	21	4.14	48	30.42	0.11	0.0
50318	2113	28.71	21	4.30	48	30.66	0.30	0.0
50319	0136	21.01	21	2.34	48	28.84	0.06	0.0
50319	0342	20.26	21	3.49	48	30.06	0.12	0.0
50319	0424	23.02	20	59.86	48	25.73	0.03	0.0
50319	0432	20.01	20	59.12	48	24.94	0.08	0.0
50319	0507	31.82	20	57.74	48	25.02	0.00	0.0
50319	0651	26.09	20	54.81	48	20.50	0.30	0.0
50319	1341	34.46	21	2.14	48	28.64	0.06	0.0
50319	2121	35.09	20	59.22	48	22.77	6.22	0.0
50319	2152	12.87	21	6.07	48	30.12	0.00	0.0
50320	0402	13.03	20	58.66	48	27.78	0.30	0.0
50320	0519	6.25	21	0.08	48	26.48	0.30	0.0
