evid;origin;longitude;latitude;depth;magnitude;magnitudet;region;author;mode
usp2021iodj;2021-05-02T13:53:34.549Z;-43.971;-19.685;0.0;2.3;mR;"Sao Jose da Lapa/MG";jroberto;M
usp2021ilur;2021-05-01T07:13:31.89Z;-44.765;-18.834;0.0;2.7;mR;"Felixlandia/MG";jroberto;M
usp2021iiat;2021-04-29T05:45:06.782Z;-36.144;-5.526;0.0;1.8;mR;"Pedra Preta/RN";jroberto;M
usp2021igzg;2021-04-28T15:51:32.858Z;-49.206;-20.284;0.0;2.5;mR;"Fronteira/MG";jroberto;M
usp2021igar;2021-04-28T03:26:40.729Z;-61.652;-0.520;0.0;4.7;mR;"Rg. de Rorainópolis/RR";marcelo;M
usp2021icmv;2021-04-26T05:02:12.409Z;-48.462;-21.345;0.0;1.9;mR;"Monte Alto/SP";jroberto;M
usp2021hvvg;2021-04-22T13:20:18.946Z;-38.471;-4.533;0.0;2.4;mR;"Ocara/CE";jroberto;M
usp2021huwy;2021-04-22T01:04:02.399Z;-59.632;2.866;0.0;3.6;mR;"Guyana";jroberto;M
usp2021hric;2021-04-20T02:08:43.0Z;-59.594;2.821;0.0;3.5;mR;"Guyana";jroberto;M
usp2021hppa;2021-04-19T03:22:19.149Z;-59.548;2.640;0.0;3.5;mR;"Guyana";jroberto;M
usp2021hjpr;2021-04-15T20:53:36.429Z;-52.557;-17.560;0.0;2.3;mR;"Mineiros/GO";jroberto;M
usp2021hgsp;2021-04-14T06:57:17.679Z;-59.637;2.612;0.0;3.4;mR;"Guyana";jroberto;M
usp2021hgrg;2021-04-14T06:16:54.0Z;-44.780;-18.822;0.0;2.6;mR;"Felixlandia/MG";jroberto;M
usp2021hdxj;2021-04-12T17:57:43.877Z;-41.907;-18.920;0.0;2.6;mR;"Alpercata/MG";jroberto;M
usp2021hbax;2021-04-11T04:21:02.674Z;-71.304;-9.243;553.1;4.3;mb;"Peru-Brazil Border Region";jroberto;M
usp2021gvtd;2021-04-08T06:44:32.0Z;-59.589;2.815;0.0;3.7;mR;"Guyana";jroberto;M
usp2021guho;2021-04-07T11:45:46.0Z;-59.574;2.843;0.0;3.7;mR;"Guyana";jroberto;M
usp2021gtlq;2021-04-07T00:40:41.0Z;-49.699;-6.129;0.0;3.1;mR;"Curionopolis/PA";jroberto;M
usp2021grbe;2021-04-05T17:07:37.146Z;-35.871;-7.342;0.0;1.4;mR;"Campina Grande/PB";jroberto;M
usp2021grax;2021-04-05T16:59:24.546Z;-35.915;-7.283;0.0;1.4;mR;"Campina Grande/PB";jroberto;M
usp2021gpjp;2021-04-04T19:06:05.661Z;-40.530;-11.194;0.0;1.4;MLv;"Jacobina/BA";jroberto;M
usp2021gnfj;2021-04-03T14:41:02.0Z;-59.580;2.596;0.0;3.8;mR;"Guyana";jroberto;M
usp2021gigd;2021-03-31T21:24:08.216Z;-59.480;2.685;0.0;4.1;mR;"Guyana";jroberto;M
usp2021ggmu;2021-03-30T22:29:40.0Z;-59.517;2.615;0.0;3.5;mR;"Guyana";jroberto;M
usp2021geza;2021-03-30T02:24:17.862Z;-35.106;-8.233;0.0;1.5;mR;"Cabo de Santo Agostinho/PE";jroberto;M
usp2021gbov;2021-03-28T05:50:01.0Z;-59.580;2.579;0.0;3.0;mR;"Guyana";jroberto;M
usp2021gayn;2021-03-27T21:35:37.39Z;-37.514;-5.862;0.0;2.6;mR;"Caraubas/RN";jroberto;M
usp2021fyrw;2021-03-26T15:57:42.79Z;-59.584;2.834;0.0;4.7;mR;"Guyana";marcelo;M
usp2021ftzp;2021-03-24T02:11:33.0Z;-59.617;2.806;0.0;4.1;mR;"Guyana";marcelo;M
usp2021flcy;2021-03-19T05:39:58.233Z;-43.957;-20.477;0.0;2.0;MLv;"Jeceaba/MG";bruno;M
usp2021fkmb;2021-03-18T21:07:16.833Z;-40.538;-11.184;0.0;1.5;MLv;"Jacobina/BA";jroberto;M
usp2021fkja;2021-03-18T19:36:09.847Z;-40.547;-11.178;0.0;2.2;mR;"Jacobina/BA";jroberto;M
usp2021fhdz;2021-03-17T01:38:35.0Z;-49.821;-21.925;0.0;3.0;mR;"Guaimbê/SP";jroberto;M
usp2021fexk;2021-03-15T20:03:25.0Z;-40.460;-3.239;0.0;2.1;mR;"Senador Sa/CE";jroberto;M
usp2021fcqr;2021-03-14T14:22:32.0Z;-35.225;-5.604;0.0;1.7;mR;"Maxaranguape/RN";jroberto;M
usp2021ezmw;2021-03-12T21:02:20.0Z;-56.890;-25.800;0.0;0.0;;"Paraguay";jroberto;M
usp2021ezae;2021-03-12T14:38:01.0Z;-40.536;-11.176;0.0;1.5;MLv;"Jacobina/BA";jroberto;M
usp2021ewai;2021-03-10T23:18:34.0Z;-60.739;-0.911;0.0;3.9;mR;"Presidente Figueiredo/AM";jroberto;M
usp2021evuo;2021-03-10T20:23:12.0Z;-51.012;-20.218;0.0;2.7;mR;"Rubineia/SP";jroberto;M
usp2021eqnv;2021-03-07T23:17:52.0Z;-37.501;-5.707;0.0;2.3;mR;"Caraubas/RN";jroberto;M
usp2021eqms;2021-03-07T22:44:50.0Z;-37.965;-6.092;0.0;1.7;mR;"Portalegre/RN";jroberto;M
usp2021epqz;2021-03-07T11:45:52.549Z;-43.993;-19.750;0.0;2.4;mR;"Sao Jose da Lapa/MG";marcelo;M
usp2021emya;2021-03-05T23:54:26.0Z;-59.530;2.700;0.0;3.5;MLv;"Guyana";marcelo;M
usp2021eigh;2021-03-03T10:24:58.359Z;-36.149;-5.598;0.0;2.4;mR;"Pedra Preta/RN";marcelo;M
usp2021ehtb;2021-03-03T03:43:22.0Z;-37.917;-16.882;0.0;3.2;mR;"Plataforma Continental/BA";jroberto;M
usp2021ehsu;2021-03-03T03:35:13.509Z;-37.902;-16.877;0.0;3.6;mR;"Plataforma Continental/BA";marcelo;M
usp2021dwau;2021-02-24T17:59:52.79Z;-59.568;2.788;0.0;3.9;mR;"Guyana";marcelo;M
usp2021dvuh;2021-02-24T14:42:54.0Z;-59.641;2.832;0.0;3.6;mR;"Guyana";marcelo;M
usp2021dsju;2021-02-22T18:00:13.0Z;-59.551;2.741;0.0;4.2;mR;"Guyana";marcelo;M
usp2021drko;2021-02-22T05:15:28.824Z;-37.467;-5.756;0.0;1.5;mR;"Caraubas/RN";jroberto;M
usp2021dqvp;2021-02-21T21:41:09.777Z;-37.474;-5.760;0.0;2.0;mR;"Caraubas/RN";jroberto;M
usp2021doxx;2021-02-20T20:35:40.979Z;-59.616;2.739;0.0;3.7;mR;"Guyana";marcelo;M
usp2021dmzi;2021-02-19T19:02:00.0Z;-59.556;2.817;0.0;2.0;MLv;"Guyana";jroberto;M
usp2021dmyf;2021-02-19T18:28:15.439Z;-59.604;2.757;0.0;4.1;mR;"Guyana";marcelo;M
usp2021dmfe;2021-02-19T08:51:46.0Z;-59.561;2.816;0.0;3.4;mR;"Guyana";jroberto;M
usp2021dmev;2021-02-19T08:40:10.48Z;-36.217;-5.349;0.0;1.8;MLv;"Jandaira/RN";jroberto;M
usp2021dmdv;2021-02-19T08:10:43.850Z;-36.212;-5.352;0.0;1.6;MLv;"Jandaira/RN";jroberto;M
usp2021dkgf;2021-02-18T07:06:14.0Z;-59.555;2.818;0.0;3.1;mR;"Guyana";jroberto;M
usp2021djzy;2021-02-18T03:55:54.9Z;-59.560;2.829;0.0;4.0;mR;"Guyana";marcelo;M
usp2021djzr;2021-02-18T03:47:41.0Z;-59.555;2.818;0.0;1.9;MLv;"Guyana";jroberto;M
usp2021dizg;2021-02-17T14:27:32.638Z;-35.958;-8.281;0.6;1.9;mR;"Caruaru/PE";jroberto;M
usp2021dbnp;2021-02-13T12:36:16.0Z;-51.114;-29.376;0.0;2.0;mR;"Nova Petropolis/RS";jroberto;M
usp2021cuaw;2021-02-09T10:14:18.0Z;-59.600;2.800;0.0;2.2;MLv;"Guyana";marcelo;M
usp2021ctyt;2021-02-09T09:09:30.962Z;-38.341;-4.276;0.0;1.6;mR;"Cascavel/CE";jroberto;M
usp2021ctyq;2021-02-09T09:06:15.369Z;-38.345;-4.278;0.0;1.5;mR;"Cascavel/CE";jroberto;M
usp2021crjk;2021-02-07T23:08:05.0Z;-59.590;2.870;0.0;3.8;mR;"Guyana";marcelo;M
usp2021crio;2021-02-07T22:40:45.0Z;-59.558;3.013;0.0;4.3;mR;"Guyana";marcelo;M
usp2021cquq;2021-02-07T15:40:01.0Z;-38.242;-4.133;0.0;2.2;mR;"Cascavel/CE";jroberto;M
usp2021cilu;2021-02-03T02:07:02.63Z;-40.536;-11.178;0.0;2.7;mR;"Jacobina/BA";jroberto;M
usp2021cgux;2021-02-02T04:26:31.0Z;-59.576;2.763;0.0;3.7;mR;"Guyana";marcelo;M
usp2021cfmx;2021-02-01T11:16:18.0Z;-59.582;2.725;0.0;2.7;MLv;"Guyana";jroberto;M
usp2021ceiu;2021-01-31T20:03:45.0Z;-59.589;2.825;0.0;3.8;mR;"Guyana";marcelo;M
usp2021ceii;2021-01-31T19:48:46.0Z;-59.537;2.743;0.0;3.9;mR;"Guyana";jroberto;M
usp2021cehx;2021-01-31T19:36:48.689Z;-59.602;2.749;0.0;3.8;mR;"Guyana";jroberto;M
usp2021cehv;2021-01-31T19:34:45.0Z;-59.474;2.736;0.0;3.2;MLv;"Guyana";marcelo;M
usp2021cehu;2021-01-31T19:32:31.89Z;-59.582;2.725;0.0;3.7;mR;"Guyana";marcelo;M
usp2021cehn;2021-01-31T19:24:30.0Z;-59.586;2.726;0.0;3.3;MLv;"Guyana";jroberto;M
usp2021cehl;2021-01-31T19:22:53.0Z;-59.586;2.726;0.0;2.8;MLv;"Guyana";jroberto;M
usp2021cehj;2021-01-31T19:20:41.0Z;-59.586;2.726;0.0;3.4;MLv;"Guyana";jroberto;M
usp2021cegw;2021-01-31T19:05:13.541Z;-59.570;2.645;0.0;5.6;mb;"Guyana";marcelo;M
usp2021ceaf;2021-01-31T15:42:50.631Z;-40.014;-9.884;0.0;2.4;mR;"Jaguarari/BA";jroberto;M
usp2021cajh;2021-01-29T15:46:07.125Z;-74.135;-8.490;165.3;4.2;mb;"Peru-Brazil Border Region";marcelo;M
usp2021caiz;2021-01-29T15:36:55.18Z;-37.561;-4.857;0.0;1.5;mR;"Jaguaruana/CE";jroberto;M
